Company Name,PL_Net Sales,PL_Operating Profit (Excl OI),PL_Consolidated PAT,OCF,OCF/PAT,ROE,ROCE,D/E,Asset Turnover,FR_PBIDTM (%),FR_PATM (%),FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,2448.54,489.82,293.92,342.23,1.16,25.77,13.29,1.93,0.63,21.30,10.86,9.75,49.18,6.28,0.49
3M India Ltd.,1086.86,138.45,92.84,105.97,1.14,23.55,35.88,0.00,2.08,14.17,8.31,0.00,14.56,17.49,2.32
ABB India Ltd.,6237.20,547.68,354.64,354.49,1.00,15.71,25.33,0.00,1.18,9.55,5.46,11.95,25.46,20.56,2.38
Accelya Solutions India Ltd.,165.92,39.91,26.03,28.08,1.08,24.02,25.64,0.04,1.11,24.76,15.92,10.61,28.97,1.75,0.57
Aegis Logistics Ltd.,305.33,72.21,43.03,32.77,0.76,24.55,22.50,0.69,0.83,25.93,14.09,25.08,16.72,5.48,0.92
Affle (India) Ltd.,5.52,0.21,0.06,#N/A,#N/A,0.00,1.95,-0.06,0.97,3.78,1.17,0.00,#N/A,0.00,0.00
Agro Tech Foods Ltd.,649.57,25.84,25.14,13.96,0.56,17.92,23.85,0.00,2.64,5.62,3.87,14.54,20.79,15.28,0.65
Akzo Nobel India Ltd.,938.60,116.30,159.30,110.80,0.70,16.25,20.52,0.00,0.82,19.96,14.30,36.96,15.80,10.16,2.31
Allsec Technologies Ltd.,134.75,-6.95,-10.10,-7.01,0.69,-7.87,-7.32,0.02,0.90,2.79,-7.50,0.00,19.09,14.53,0.48
Ambuja Cements Ltd.,7037.43,1865.67,1216.84,2126.39,1.75,20.06,28.99,0.03,0.93,27.48,15.76,30.05,30.08,7.10,2.30
Andhra Paper Ltd.,649.29,144.29,54.19,120.84,2.23,11.79,9.85,0.98,0.57,22.86,8.09,6.04,13.00,6.02,0.35
Asahi India Glass Ltd.,1293.23,228.11,1.79,113.29,63.29,0.60,7.47,7.53,0.73,17.77,0.08,0.00,32.42,13.59,0.75
Asian Hotels (East) Ltd.,41.22,17.70,14.74,12.18,0.83,3.95,5.27,0.00,0.10,54.57,35.76,23.20,#N/A,0.00,0.00
Asian Hotels (North) Ltd.,145.02,52.04,26.88,55.37,2.06,4.33,5.43,0.26,0.09,36.26,18.52,21.24,18.52,4.06,1.67
Asian Hotels (West) Ltd.,60.18,18.90,10.04,3.02,0.30,6.34,6.54,0.45,0.23,32.39,16.67,34.17,#N/A,0.00,0.00
Asian Oilfield Services Ltd.,20.17,2.49,-0.90,1.29,-1.43,-1.02,-0.23,0.00,0.19,16.67,-4.45,0.00,5.45,5.49,1.12
