Company Name,Net Sales,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),OCF,PAT,OCF/PAT,FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,5139.50,42.22,19.73,45.95,25.44,1.28,3.69,299.16,252.51,1.18,11.70,48.57,6.03,0.46
3M India Ltd.,2382.82,27.09,16.00,40.33,60.43,3.67,0.04,52.65,98.81,0.53,0.00,14.80,22.44,3.56
ABB India Ltd.,12574.22,5.65,1.91,5.23,11.19,2.33,0.00,220.68,63.23,3.49,67.03,13.22,52.96,2.73
Abbott India Ltd.,2073.75,20.22,11.68,42.25,65.30,2.59,0.00,46.06,60.94,0.76,38.15,24.41,11.85,1.84
Accelya Solutions India Ltd.,442.18,41.03,19.22,31.87,36.90,2.59,0.02,26.36,20.94,1.26,15.16,17.64,3.81,1.10
Aegis Logistics Ltd.,3622.23,9.81,5.20,40.69,40.65,7.77,0.89,2.75,46.69,0.06,28.61,11.22,12.46,1.80
AGC Networks Ltd.,2590.40,73.49,41.83,78.30,119.78,8.29,0.00,18.70,26.40,0.71,24.20,20.87,3.31,0.62
Agro Tech Foods Ltd.,1441.41,9.61,8.83,38.77,57.84,5.38,0.00,-42.38,31.82,-1.33,13.40,24.30,17.59,1.12
Akzo Nobel India Ltd.,2193.60,38.59,29.40,33.95,42.56,1.65,0.00,36.30,176.60,0.21,37.51,17.99,13.80,3.14
Allsec Technologies Ltd.,317.04,8.72,-9.55,-12.69,-11.12,2.17,0.06,6.30,-7.58,-0.83,0.00,20.71,3.78,0.41
Ambuja Cements Ltd.,14694.54,50.15,30.59,36.64,48.78,1.72,0.02,1875.31,1262.97,1.48,31.49,30.18,8.78,2.73
Andhra Paper Ltd.,1563.63,40.42,11.08,16.63,20.81,1.37,1.00,124.65,44.94,2.77,8.85,22.79,6.08,0.74
Asahi India Glass Ltd.,3115.46,31.51,1.90,16.26,18.09,1.80,14.38,81.30,16.78,4.85,0.00,32.59,10.53,0.99
Asian Hotels (East) Ltd.,165.21,106.53,75.33,8.19,9.79,0.21,0.00,16.71,31.12,0.54,16.49,22.40,7.40,4.00
Asian Hotels (North) Ltd.,610.87,73.17,22.58,11.82,15.43,0.36,3.52,161.44,31.07,5.20,15.67,15.36,2.42,0.86
Asian Hotels (West) Ltd.,269.10,68.11,24.93,10.89,14.14,0.45,1.61,42.57,16.82,2.53,27.13,22.87,21.60,4.70
Asian Oilfield Services Ltd.,128.27,26.14,-21.38,-15.73,-12.59,1.19,0.24,-7.84,-7.54,1.04,0.00,18.65,6.53,1.31
Astrazeneca Pharma India Ltd.,1187.04,36.26,21.19,79.12,124.55,4.55,0.00,64.50,64.13,1.01,38.98,10.00,33.21,6.59
Banco Products (India) Ltd.,1744.38,24.98,14.45,39.70,42.64,3.15,0.72,71.71,65.63,1.09,32.69,20.98,6.69,1.39
BASF India Ltd.,6127.76,12.76,7.29,25.70,32.57,4.23,0.27,156.35,117.83,1.33,29.39,18.10,11.17,1.34
Bata India Ltd.,2551.53,27.34,13.65,53.87,75.42,3.32,0.43,58.85,88.37,0.67,29.09,22.73,13.93,1.79
Bayer CropScience Ltd.,4274.60,21.89,11.82,42.70,56.92,2.25,0.32,122.30,131.60,0.93,12.01,19.65,14.69,1.89
Bilcare Ltd.,4573.17,33.61,13.07,31.70,32.47,1.88,2.29,787.97,147.51,5.34,4.79,29.48,5.75,1.00
Black Rose Industries  Ltd.,175.20,15.22,6.27,46.13,38.63,3.10,2.82,1.65,2.75,0.60,7.05,19.17,5.79,0.26
Blue Dart Express Ltd.,2299.79,27.85,16.46,37.93,56.40,3.00,0.00,37.65,94.70,0.40,2.51,6.44,19.68,2.52
Bosch Ltd.,13363.50,41.01,24.11,45.91,60.01,2.22,0.13,885.91,858.91,1.03,14.62,16.83,12.68,3.03
Cairn India Ltd. (Amalgamated),20555.86,163.13,123.26,34.32,35.95,0.48,0.13,6338.12,6334.40,1.00,0.00,20.02,32.11,21.12
Capital First Ltd. - (Amalgamated),745.64,148.51,26.35,14.29,20.84,0.27,7.67,-1261.72,49.12,-25.69,19.78,14.04,13.34,5.08
Castrol India Ltd.,5469.52,47.70,30.59,187.05,282.41,5.25,0.00,509.90,490.31,1.04,75.65,23.94,14.37,4.17
Clariant Chemicals (India) Ltd.,1962.56,36.81,21.62,63.07,93.05,3.34,0.01,163.93,112.58,1.46,71.04,33.41,8.87,1.94
CMI FPE Ltd.,836.81,36.36,21.58,75.09,118.67,2.20,0.00,47.23,47.18,1.00,20.93,21.99,10.81,1.70
Colgate-Palmolive (India) Ltd.,4572.23,46.65,33.79,226.75,291.86,3.57,0.00,357.91,402.58,0.89,74.32,34.93,20.43,5.72
CreditAccess Grameen Ltd.,160.49,101.80,8.75,13.87,28.88,0.46,3.14,51.14,3.51,14.57,0.00,#N/A,0.00,0.00
CRISIL Ltd.,1256.89,91.70,66.26,100.55,128.89,2.06,0.00,146.24,208.21,0.70,68.17,16.45,15.50,7.07
CSB Bank Ltd.,1524.27,8.82,3.20,5.69,8.83,0.00,1.28,-139.17,12.18,-11.43,30.15,#N/A,0.00,0.00
Cummins India Ltd.,8085.06,39.36,27.57,70.20,95.63,3.31,0.00,429.25,590.99,0.73,50.25,25.80,20.33,3.73
Dabur India Ltd.,8209.02,38.65,27.50,108.71,85.32,2.77,1.79,531.10,568.57,0.93,35.21,23.12,24.07,4.75
DCB Bank Ltd.,1072.52,32.09,7.99,7.77,13.09,0.00,3.06,206.61,21.43,9.64,0.00,57.62,23.42,2.16
De Nora India Ltd.,33.71,47.23,35.29,23.46,25.33,1.01,0.00,-0.60,3.06,-0.20,90.76,37.20,12.73,2.65
Denso India Ltd.,1854.80,5.88,0.39,1.92,5.64,4.09,0.67,-32.70,2.00,-16.35,0.00,18.54,5.55,0.31
DIC India Ltd.,1106.72,15.94,16.78,45.91,54.15,3.32,0.09,0.32,50.74,0.01,9.05,23.26,5.58,0.50
Disa India Ltd.,215.27,43.10,25.76,62.88,97.21,2.87,0.00,14.33,15.10,0.95,0.00,13.72,9.24,2.48
Dixon Technologies (India) Ltd.,1159.10,2.73,0.58,4.49,5.18,4.87,2.82,-15.06,1.67,-9.01,18.57,#N/A,0.00,0.00
D-Link (India) Ltd.,256.18,9.22,5.34,9.66,14.09,2.81,0.00,-1.23,3.42,-0.36,26.33,32.77,8.79,0.77
Elantas Beck India Ltd.,501.92,37.88,23.54,43.02,62.91,3.01,0.00,16.27,32.39,0.50,11.01,9.87,10.51,2.48
Endurance Technologies Ltd.,6257.68,28.00,7.68,76.50,38.98,3.26,5.05,295.15,123.75,2.39,1.08,#N/A,0.00,0.00
Enkei Wheels (India) Ltd.,477.86,15.30,0.21,158.74,14.07,2.28,16.77,33.76,0.27,125.09,0.00,#N/A,0.00,0.00
Eros International Media Ltd.,1413.94,47.72,33.44,52.47,47.08,1.19,0.83,426.70,117.23,3.64,0.00,14.37,10.13,2.16
Esab India Ltd.,1000.70,36.77,21.77,65.84,99.44,4.14,0.00,59.56,58.96,1.01,52.22,28.12,7.68,1.89
Essar Shipping Ltd.,2637.52,51.11,5.05,1.28,3.43,0.24,1.92,213.52,33.30,6.41,0.00,#N/A,0.00,0.00
Ester Industries Ltd.,1343.28,62.47,36.09,116.81,114.29,3.10,1.65,82.99,129.46,0.64,19.43,20.29,5.69,0.80
Expleo Solutions Ltd.,165.85,14.68,4.52,5.38,9.48,1.93,0.00,-4.93,1.87,-2.64,53.69,22.23,12.59,1.48
Federal-Mogul Goetze (India) Ltd.,1865.71,26.61,9.74,26.47,36.58,2.70,0.33,99.45,39.99,2.49,8.41,14.34,6.29,1.03
Finolex Industries Ltd.,3955.45,22.73,6.95,25.22,25.05,2.00,2.41,-94.19,76.17,-1.24,48.86,43.73,6.31,0.69
Foseco India Ltd.,371.89,32.63,19.08,61.43,79.39,3.40,0.33,12.84,19.30,0.67,56.26,13.52,9.52,1.78
GE Power India Ltd.,3150.62,41.37,24.20,72.91,109.31,1.04,0.00,273.85,169.22,1.62,34.40,22.74,13.18,2.17
Gillette India Ltd.,8467.03,161.97,95.79,162.13,251.84,6.55,0.00,136.30,172.31,0.79,56.73,11.24,23.96,6.40
Glaxosmithkline Consumer Healthcare Ltd.,4612.24,40.66,24.67,64.31,97.45,2.19,0.00,326.21,299.85,1.09,70.13,36.54,16.21,3.77
Glaxosmithkline Pharmaceuticals Ltd.,4302.11,81.08,52.69,61.89,93.08,0.92,0.01,479.36,560.57,0.86,58.59,32.73,20.06,9.12
GMM Pfaudler Ltd.,389.85,21.92,11.77,24.46,36.16,2.47,0.08,28.03,12.13,2.31,33.73,21.80,7.51,0.82
Gokaldas Exports Ltd.,2290.24,-2.24,-15.71,-43.44,-15.30,2.66,1.72,85.24,-90.07,-0.95,0.00,5.10,10.85,0.42
Goodricke Group Ltd.,797.35,37.01,22.47,70.80,98.10,2.30,0.00,52.41,45.00,1.16,24.00,20.21,4.27,0.77
Goodyear India Ltd.,2594.46,18.88,10.86,62.46,95.77,5.12,0.00,146.00,74.81,1.95,21.58,22.50,3.54,0.51
GP Petroleums Ltd.,731.20,10.17,7.61,27.45,33.07,2.99,0.00,6.80,15.81,0.43,1.39,0.14,22.29,0.34
Grindwell Norton Ltd.,1593.54,34.50,19.38,44.28,63.54,2.44,0.11,83.06,83.61,0.99,39.73,26.37,12.07,2.35
Gujarat Gas Company Ltd. - (Amalgamation),3698.65,46.65,27.59,64.59,78.04,1.86,0.48,285.18,257.75,1.11,59.96,19.28,12.03,2.70
Gulf Oil Lubricants India Ltd.,0.00,0.00,0.00,1.43,1.43,0.00,0.00,0.00,0.00,1.28,0.00,#N/A,0.00,0.00
Heidelberg Cement India Ltd.,1731.08,26.18,12.85,17.23,26.98,1.66,0.00,56.42,63.30,0.89,0.00,17.97,3.84,1.18
Hella India Lighting Ltd.,96.62,1.45,95.88,641.27,257.89,2.57,0.00,-4.92,25.65,-0.19,0.00,15.49,67.98,1.29
Hexaware Technologies Ltd.,2109.13,23.11,20.40,23.76,26.06,1.78,0.02,12.23,107.59,0.11,40.49,26.76,7.58,1.28
Hinduja Foundries Ltd. - (Amalgamated),1105.31,22.67,2.46,8.84,12.78,1.20,5.19,-55.00,7.48,-7.36,0.00,14.33,10.84,0.71
Hindustan Unilever Ltd.,40045.10,28.33,22.03,171.79,218.56,4.32,0.00,1923.61,2296.05,0.84,61.13,36.93,19.74,3.36
Hindustan Zinc Ltd.,20078.34,121.95,92.32,48.21,58.72,0.94,0.00,4271.91,4900.49,0.87,8.62,5.54,8.55,5.69
Honda Siel Power Products Ltd.,811.30,24.47,13.78,27.89,41.79,2.57,0.00,10.59,29.66,0.36,25.65,28.45,5.97,1.24
