Company Name,Net Sales,Cons PAT,Cons OCF,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1344.00,-976.00,-51.00,0.05,13.18,-72.62,0.00,0.00,-27.87,0.43,-4.74,42.81,13.96,0.34
3M India Ltd.,1840.00,108.00,177.00,1.64,11.32,5.62,0.00,14.38,20.53,1.34,0.02,12.66,30.72,2.28
Aavas Financiers Ltd.,104.00,19.00,-370.00,-19.37,79.78,18.40,0.00,24.33,13.44,0.16,6.94,0.00,9.55,0.00
ABB India Ltd.,7733.00,229.00,479.00,2.10,7.23,2.80,34.31,8.33,14.73,0.85,0.13,14.15,0.00,0.00
Abbott India Ltd.,2289.00,229.00,215.00,0.94,15.53,9.88,28.77,26.54,39.98,1.13,0.00,18.45,10.30,1.64
Accelya Solutions India Ltd.,303.00,67.00,66.00,0.98,39.81,22.26,79.73,60.01,95.47,0.98,0.00,23.33,0.00,0.00
Aegis Logistics Ltd.,3916.00,103.00,122.00,1.18,4.74,2.87,24.22,28.89,26.32,4.30,0.51,23.11,6.09,0.11
AGC Networks Ltd.,891.00,15.00,28.00,1.89,3.23,1.66,0.00,18.39,15.58,0.96,1.44,19.10,-1.57,0.18
Agro Tech Foods Ltd.,760.00,37.00,41.00,1.11,8.01,4.86,13.20,12.38,14.48,1.90,0.08,25.60,17.72,1.61
Akzo Nobel India Ltd.,2527.00,186.00,155.00,0.83,11.66,6.66,50.13,21.11,31.33,1.46,0.00,11.14,16.57,1.73
Allsec Technologies Ltd.,151.00,-14.00,-6.00,0.43,0.21,-9.32,0.00,-19.94,-12.43,1.42,0.23,19.11,-1.60,0.24
Ambuja Cements Ltd.,9974.00,1487.00,1675.00,1.13,20.89,13.20,52.13,15.24,18.76,0.84,0.00,31.38,0.00,0.00
Andhra Paper Ltd.,1163.00,0.00,128.00,517.72,8.63,0.02,0.00,0.06,4.04,0.95,1.21,20.95,19.82,0.84
Asahi India Glass Ltd.,2099.00,42.00,50.00,1.19,14.08,1.64,0.00,14.58,12.63,1.06,5.05,29.35,11.97,0.67
Asian Hotels (East) Ltd.,188.00,-22.00,40.00,-1.82,26.43,-20.78,-10.45,-5.07,1.65,0.15,0.42,18.79,9.21,0.95
Asian Hotels (North) Ltd.,232.00,-51.00,-3.00,0.07,31.78,-21.87,0.00,-8.68,2.94,0.11,1.87,16.40,9.65,0.90
Asian Hotels (West) Ltd.,274.00,-71.00,33.00,-0.47,20.76,-31.57,-1.61,-32.97,0.80,0.23,3.24,23.70,31.88,0.82
Asian Oilfield Services Ltd.,141.00,-27.00,-8.00,0.28,0.74,-19.18,0.00,-52.86,-16.01,0.87,1.88,30.34,0.00,1.27
Astrazeneca Pharma India Ltd.,517.00,-21.00,-46.00,2.19,-1.06,-3.97,0.00,-12.93,-12.93,1.27,0.00,9.48,34.00,5.82
Banco Products (India) Ltd.,1129.00,88.00,85.00,0.97,13.18,7.45,24.48,14.52,17.13,1.33,0.06,26.42,3.79,0.44
BASF India Ltd.,4706.00,-67.00,-96.00,1.44,2.80,-1.31,-25.88,-6.22,1.23,1.07,1.55,20.31,16.27,0.84
Bata India Ltd.,2694.00,231.00,119.00,0.51,14.41,8.45,18.06,25.61,38.39,1.91,0.00,39.67,0.00,0.00
Bayer CropScience Ltd.,3723.00,383.00,200.00,0.52,15.46,9.81,20.07,20.29,30.63,1.04,0.00,21.67,10.15,1.70
Bilcare Ltd.,2692.00,-216.00,-315.00,1.46,8.59,-6.68,0.00,-14.86,1.16,0.62,2.11,28.35,8.38,0.04
Black Rose Industries  Ltd.,196.00,1.00,1.00,1.15,3.74,0.27,0.00,2.78,7.74,2.14,2.19,15.39,21.38,0.20
Blue Dart Express Ltd.,2272.00,129.00,153.00,1.19,10.95,5.60,36.70,26.77,32.01,1.74,1.08,13.58,41.07,4.54
Bosch Ltd.,12086.00,1338.00,1396.00,1.04,19.74,10.37,19.95,19.61,28.28,1.15,0.02,17.86,0.00,0.00
Cairn India Ltd. (Amalgamated),14646.00,4480.00,9520.00,2.13,70.54,30.59,37.67,7.73,8.82,0.22,0.00,22.57,4.06,3.38
Capital First Ltd. - (Amalgamated),1424.00,114.00,-1520.00,-13.30,70.01,8.02,17.51,8.82,10.15,0.14,5.70,7.94,10.67,1.37
Castrol India Ltd.,3392.00,475.00,548.00,1.15,18.74,11.63,78.16,76.04,116.76,2.73,0.00,21.73,0.00,0.00
Clariant Chemicals (India) Ltd.,1046.00,943.00,-60.00,-0.06,3.41,84.20,11.02,95.75,120.07,0.81,0.01,30.05,0.00,0.00
Colgate-Palmolive (India) Ltd.,3982.00,559.00,638.00,1.14,20.18,13.19,58.39,81.59,113.91,1.63,0.00,34.22,25.75,5.22
CreditAccess Grameen Ltd.,268.00,49.00,-616.00,-12.46,76.78,18.44,0.00,16.82,15.20,0.19,3.39,29.45,5.46,0.00
CRISIL Ltd.,1253.00,268.00,265.00,0.99,32.89,21.42,53.17,35.25,49.39,1.06,0.00,15.10,0.00,0.00
CSB Bank Ltd.,1545.00,-53.00,-356.00,6.70,3.24,-3.44,0.00,-7.55,-3.86,0.00,0.06,100.00,6.27,0.00
Cummins India Ltd.,4916.00,772.00,589.00,0.76,19.32,14.31,50.27,33.12,40.67,1.22,0.00,32.21,18.79,4.15
Dabur India Ltd.,7827.00,1066.00,1047.00,0.98,18.65,13.51,32.96,36.36,34.29,1.26,0.29,20.86,24.65,4.43
DCB Bank Ltd.,1422.00,191.00,-496.00,-2.59,19.51,13.44,0.00,14.53,11.81,0.00,0.76,47.40,12.69,1.35
De Nora India Ltd.,31.00,4.00,10.00,2.28,23.60,13.59,18.73,11.31,16.45,0.67,0.00,37.71,0.00,0.00
Denso India Ltd.,1004.00,-56.00,47.00,-0.85,0.91,-5.04,0.00,-84.71,-10.56,2.07,7.38,19.95,0.00,0.00
DIC India Ltd.,722.00,-31.00,2.00,-0.08,0.10,-3.83,0.00,-11.19,-10.79,1.58,0.14,20.52,0.00,0.00
Disa India Ltd.,184.00,18.00,-10.00,-0.56,16.53,9.04,2.11,20.02,32.24,1.03,0.00,12.73,0.00,0.00
Dixon Technologies (India) Ltd.,1201.00,11.00,44.00,4.04,2.84,1.00,2.82,13.61,15.76,4.01,0.84,95.97,2.73,0.00
D-Link (India) Ltd.,641.00,22.00,2.00,0.09,5.52,3.41,11.37,16.19,24.46,2.46,0.02,34.98,3.83,0.18
Elantas Beck India Ltd.,341.00,32.00,31.00,0.97,13.24,8.26,11.29,25.91,37.07,1.94,0.00,21.11,0.00,0.00
Endurance Technologies Ltd.,4917.00,252.00,413.00,1.64,12.15,4.84,4.88,23.95,22.77,1.99,0.68,0.00,-0.18,0.00
Enkei Wheels (India) Ltd.,384.00,2.00,26.00,11.46,8.85,0.53,0.00,14.73,8.29,1.44,4.78,18.14,8.83,0.16
Eros International Media Ltd.,1421.00,247.00,933.00,3.78,26.02,17.38,0.00,18.46,20.08,0.52,0.33,15.25,5.89,1.36
Esab India Ltd.,552.00,24.00,16.00,0.69,10.35,3.92,6.51,8.50,11.18,1.68,0.00,17.51,0.00,0.00
Essar Shipping Ltd.,1911.00,-459.00,559.00,-1.22,24.58,-24.02,0.00,-6.59,0.37,0.14,0.75,10.67,8.62,0.17
Ester Industries Ltd.,896.00,4.00,68.00,17.63,7.53,0.39,0.00,1.48,7.28,1.39,1.25,27.90,4.55,0.07
Expleo Solutions Ltd.,214.00,22.00,33.00,1.54,18.15,10.11,116.91,20.63,29.09,1.38,0.09,42.34,5.71,1.66
Federal-Mogul Goetze (India) Ltd.,1580.00,40.00,126.00,3.20,12.00,2.95,0.00,11.18,17.57,1.70,0.41,7.57,0.00,0.00
Finolex Industries Ltd.,2476.00,48.00,212.00,4.44,8.18,1.69,51.95,6.06,10.33,1.49,0.81,38.54,6.96,0.97
Foseco India Ltd.,263.00,25.00,25.00,1.03,14.64,8.43,54.54,26.32,37.93,1.97,0.06,13.54,0.00,0.00
GE Power India Ltd.,2124.00,177.00,189.00,1.07,13.70,8.05,38.01,18.62,29.12,0.59,0.00,19.46,8.82,1.08
Gillette India Ltd.,1974.00,158.00,172.00,1.09,14.59,7.97,30.91,22.82,36.16,1.76,0.00,15.25,0.00,0.00
Glaxosmithkline Consumer Healthcare Ltd.,4308.00,584.00,611.00,1.05,21.01,12.88,39.63,29.73,45.33,0.86,0.00,22.66,15.08,3.72
Glaxosmithkline Pharmaceuticals Ltd.,3363.00,476.00,338.00,0.71,24.02,13.73,111.12,24.95,39.53,1.12,0.00,18.13,0.00,0.00
GMM Pfaudler Ltd.,308.00,19.00,30.00,1.60,11.97,5.86,23.24,13.04,19.84,1.37,0.00,21.79,3.33,0.55
Gokaldas Exports Ltd.,1090.00,35.00,68.00,1.96,6.60,3.18,0.00,24.56,18.23,1.70,1.96,6.70,7.28,0.17
Goodricke Group Ltd.,602.00,22.00,22.00,0.99,7.53,3.69,43.71,10.70,14.95,1.10,0.04,21.78,0.00,0.00
Goodyear India Ltd.,1583.00,101.00,99.00,0.98,10.83,5.91,22.79,22.13,34.31,1.59,0.00,17.43,0.00,0.00
GP Petroleums Ltd.,407.00,5.00,-18.00,-3.52,3.71,1.08,10.14,4.03,9.79,1.73,0.32,25.02,0.91,0.10
Grindwell Norton Ltd.,1135.00,103.00,106.00,1.02,16.26,8.54,34.86,17.86,26.16,1.38,0.02,26.48,9.50,1.61
Gulf Oil Lubricants India Ltd.,967.00,77.00,131.00,1.70,12.42,6.94,35.22,82.72,66.47,3.53,1.15,100.00,-0.70,0.00
Heidelberg Cement India Ltd.,2044.00,60.00,238.00,3.99,14.17,2.51,0.00,7.09,11.94,0.85,1.51,21.81,0.00,0.00
Hella India Lighting Ltd.,116.00,7.00,4.00,0.63,9.46,5.11,0.00,38.29,17.77,1.64,0.56,18.15,22.07,0.39
Hexaware Technologies Ltd.,2582.00,320.00,413.00,1.29,18.22,12.40,88.82,25.72,33.73,1.46,0.00,26.59,0.00,0.00
Hinduja Foundries Ltd. - (Amalgamated),999.00,-262.00,-51.00,0.19,-6.32,-23.35,0.00,0.00,-24.05,1.09,-172.52,7.70,0.00,0.00
Hindustan Unilever Ltd.,31972.00,4363.00,3292.00,0.75,17.64,12.91,74.38,117.02,165.63,2.44,0.01,32.75,24.10,4.47
Hindustan Zinc Ltd.,14788.00,8178.00,5531.00,0.68,63.77,50.79,22.73,20.25,23.76,0.36,0.00,5.54,5.82,3.98
Honda Siel Power Products Ltd.,631.00,39.00,43.00,1.11,11.72,5.85,15.76,12.48,19.22,1.15,0.00,28.67,10.75,1.21
Honeywell Automation India Ltd.,2404.00,114.00,13.00,0.11,9.61,4.68,9.68,13.74,21.37,1.45,0.00,16.19,0.00,0.00
Huhtamaki PPL Ltd.,1225.00,67.00,94.00,1.41,9.84,5.22,30.57,14.38,17.58,1.70,0.07,27.92,0.00,0.00
Indian Hume Pipe Company Ltd.,1010.00,42.00,-4.00,-0.09,11.67,4.07,17.48,15.36,20.15,1.03,1.06,23.87,6.53,0.36
Indostar Capital Finance Ltd.,528.00,149.00,-588.00,-3.94,91.82,28.22,0.00,12.31,14.05,0.14,2.00,12.39,4.14,0.00
INEOS Styrolution India Ltd.,2040.00,19.00,60.00,3.14,3.98,0.83,37.17,3.89,9.07,1.75,0.35,15.99,0.00,0.00
Infinite Computer Solutions (India) Ltd.,1737.00,113.00,105.00,0.93,11.41,6.50,0.00,15.38,18.46,1.27,0.07,13.76,2.82,0.31
Ingersoll-Rand (India) Ltd.,656.00,66.00,29.00,0.44,14.75,9.30,28.63,7.07,11.01,0.46,0.00,21.25,9.60,2.51
ITC Ltd.,38835.00,9663.00,9843.00,1.02,29.12,18.37,51.84,33.21,48.72,1.22,0.01,37.42,19.75,7.95
ITD Cementation India Ltd.,1719.00,19.00,44.00,2.25,6.37,1.13,0.00,3.98,12.93,0.86,1.35,25.81,0.00,0.00
Jagatjit Industries Ltd.,831.00,-43.00,6.00,-0.15,-0.90,-3.47,0.00,-24.33,-5.62,1.53,1.73,9.51,4.50,0.27
Jagran Prakashan Ltd.,1770.00,308.00,439.00,1.42,27.04,17.41,36.06,29.40,28.16,0.71,0.57,20.47,8.53,1.88
Jash Engineering Ltd.,119.00,8.00,7.00,0.96,16.36,5.97,20.10,11.18,17.31,0.93,0.55,62.93,1.48,0.00
Jayant Agro-Organics Ltd.,1581.00,12.00,176.00,14.67,4.08,0.66,12.51,4.79,9.82,2.37,1.17,29.69,4.96,0.09
Jet Airways (India) Ltd.,21561.00,-2097.00,738.00,-0.35,1.57,-9.75,0.00,0.00,-20.81,1.26,-1.79,22.93,-8.41,0.14
Johnson Controls - Hitachi Air Conditioning India Ltd.,1573.00,78.00,55.00,0.70,8.50,4.55,5.24,28.13,26.74,1.86,0.45,20.11,10.73,0.43
Kansai Nerolac Paints Ltd.,3587.00,274.00,305.00,1.11,11.12,6.47,27.53,18.18,25.71,1.83,0.03,15.52,16.77,1.97
Kennametal India Ltd.,570.00,34.00,61.00,1.81,10.71,5.47,13.11,9.65,13.35,0.96,0.00,11.63,0.00,0.00
Kingfa Science & Technology (India) Ltd.,219.00,-3.00,-1.00,0.28,2.67,-1.23,0.00,-31.12,4.38,2.22,9.24,17.20,-28.20,0.14
Kokuyo Camlin Ltd.,544.00,5.00,8.00,1.67,4.40,0.87,0.00,2.33,4.96,1.42,0.34,21.77,39.58,0.74
Lemon Tree Hotels Ltd.,290.00,-60.00,-50.00,0.84,23.32,-22.55,0.00,-8.01,1.16,0.16,0.71,100.00,11.93,0.00
Linde India Ltd.,1491.00,5.00,271.00,50.27,17.82,0.33,236.89,0.38,3.60,0.41,1.13,13.90,0.00,0.00
Mac Charles (India) Ltd.,53.00,26.00,19.00,0.73,75.29,48.98,40.42,11.11,15.64,0.19,0.00,22.22,5.46,2.56
Mahanagar Gas Ltd.,2095.00,301.00,427.00,1.42,23.14,13.13,51.94,22.26,33.03,1.11,0.01,50.25,0.02,0.00
Mahindra CIE Automotive Ltd.,5570.00,-78.00,322.00,-4.13,8.43,-1.36,0.00,-6.17,0.87,1.69,0.82,10.60,11.36,0.27
Maruti Suzuki India Ltd.,50801.00,3807.00,6449.00,1.69,13.75,6.76,19.83,16.55,21.42,1.70,0.03,31.93,10.09,1.34
Monsanto India Ltd. - (Amalgamated),556.00,106.00,9.00,0.08,23.56,18.24,58.45,29.58,36.00,0.97,0.00,18.79,16.31,4.44
Morganite Crucible (India) Ltd.,110.00,6.00,3.00,0.50,17.55,5.01,4.86,9.33,18.20,1.21,0.00,21.97,2.89,0.76
Moschip Technologies Ltd.,6.00,-5.00,0.00,0.05,-33.39,-77.40,0.00,0.00,-44.51,0.43,-1.34,70.16,-2.90,1.02
Mphasis Ltd.,5795.00,675.00,616.00,0.91,18.41,11.64,49.84,12.76,16.49,0.81,0.11,15.81,17.51,3.23
MPS Ltd.,224.00,61.00,50.00,0.82,40.70,27.44,66.66,35.33,53.69,1.12,0.00,25.00,8.66,3.12
Multibase India Ltd.,62.00,7.00,7.00,1.02,17.15,10.58,0.00,19.21,29.25,1.34,0.00,21.43,4.87,0.92
Music Broadcast Ltd.,201.00,47.00,61.00,1.30,34.27,23.36,0.00,139.01,21.74,0.72,5.13,7.18,2.90,0.00
Nestle India Ltd.,9855.00,1185.00,1644.00,1.39,20.90,11.64,51.27,45.51,55.76,1.68,0.01,31.19,0.00,0.00
Newgen Software Technologies Ltd.,310.00,53.00,9.00,0.17,21.47,17.02,15.01,27.69,27.70,0.94,0.22,100.00,0.55,0.00
NIIT Ltd.,957.00,-139.00,31.00,-0.22,4.03,-17.46,0.00,-23.81,-17.67,0.78,0.21,37.07,7.64,0.47
Nirlon Ltd.,239.00,33.00,205.00,6.29,77.58,13.63,20.75,14.14,13.44,0.10,2.92,26.24,8.05,2.99
Novartis India Ltd.,873.00,79.00,-60.00,-0.75,11.87,9.05,40.40,8.06,9.52,0.43,0.00,22.50,14.96,1.65
Oracle Financial Services Software Ltd.,3905.00,1192.00,1060.00,0.89,48.63,30.53,471.92,19.51,29.96,0.35,0.00,16.84,9.31,6.94
Orient Green Power Company Ltd.,501.00,-233.00,324.00,-1.39,48.56,-48.60,0.00,-26.21,1.38,0.15,2.65,12.46,12.56,1.27
Orient Refractories Ltd.,451.00,53.00,34.00,0.64,17.50,10.86,31.83,34.37,50.04,1.82,0.03,21.76,8.88,1.86
Page Industries Ltd.,1543.00,196.00,167.00,0.85,21.28,12.70,40.97,58.02,62.42,1.54,0.41,19.50,28.13,6.09
Panasonic Appliances India Company Ltd.,192.00,0.00,4.00,10.46,3.30,0.20,0.00,5.36,7.51,2.76,5.21,2.98,24.58,0.39
Panasonic Carbon India Company Ltd.,41.00,9.00,4.00,0.41,34.13,21.21,42.01,14.28,21.96,0.45,0.00,23.74,0.66,1.91
Pfizer Ltd.,1853.00,70.00,113.00,1.63,23.41,3.62,81.90,5.31,15.87,1.10,0.00,27.94,9.94,3.39
Phoenix Lamps Ltd. - (Amalgamated),366.00,20.00,45.00,2.28,12.74,5.11,0.00,17.81,21.22,1.47,0.48,24.35,5.39,0.63
Polycab India Ltd.,4708.00,160.00,150.00,0.94,8.82,3.14,13.21,9.89,16.32,1.54,0.34,85.00,1.62,0.00
Procter & Gamble Health Ltd.,867.00,43.00,5.00,0.11,8.83,4.81,23.04,8.02,12.36,0.97,0.00,29.39,0.00,0.00
Procter & Gamble Hygiene & Health Care Ltd.,2334.00,346.00,426.00,1.23,23.69,14.67,28.37,31.02,45.40,1.37,0.00,20.31,0.00,0.00
Puravankara Ltd.,1672.00,133.00,330.00,2.48,24.42,8.23,27.70,6.21,9.93,0.31,0.79,10.58,6.38,1.24
Quess Corp Ltd.,2567.00,69.00,15.00,0.22,5.36,2.68,0.00,39.71,35.24,4.63,0.91,100.00,0.00,0.00
R Systems International Ltd.,648.00,78.00,72.00,0.93,15.38,12.05,95.43,35.12,50.76,1.60,0.00,13.14,0.00,0.00
Rhodia Specialty Chemicals India Ltd.,273.00,-20.00,11.00,-0.54,-2.82,-6.82,0.00,-35.39,-17.65,1.85,0.97,4.39,37.79,1.46
Ricoh India Ltd.,1638.00,34.00,-222.00,-6.56,9.81,2.07,11.73,21.99,20.37,1.52,4.16,24.56,10.82,0.50
Saint-Gobain Sekurit India Ltd.,133.00,7.00,15.00,2.26,12.14,4.52,0.00,8.78,9.84,1.39,0.00,25.00,14.16,1.30
Sanofi India Ltd.,1977.00,264.00,265.00,1.01,19.91,13.01,39.31,18.70,26.47,0.99,0.00,12.16,0.00,0.00
Saurashtra Cement Ltd.,563.00,68.00,78.00,1.16,15.35,10.74,0.00,35.02,34.89,1.51,0.05,15.07,2.85,0.18
Schaeffler India Ltd.,1632.00,153.00,117.00,0.77,16.22,8.75,8.15,14.61,22.35,1.26,0.00,19.15,0.00,0.00
Seamec Ltd.,350.00,122.00,91.00,0.74,49.79,34.81,2.78,23.01,24.05,0.56,0.02,22.06,4.87,0.88
Shreyas Shipping & Logistics Ltd.,546.00,61.00,79.00,1.28,21.51,11.31,7.27,37.48,27.14,1.53,0.63,26.71,3.11,0.09
Siemens Ltd.,10678.00,603.00,608.00,1.01,6.58,5.50,35.41,14.73,21.37,0.95,0.00,20.34,0.00,0.00
Singer India Ltd.,285.00,6.00,4.00,0.56,3.83,2.25,41.95,18.49,28.56,3.45,0.00,17.81,0.00,0.00
