Company Name,Net Sales,Cons OCF,Cons PAT,OCF/PAT,PBIDTM (%),PATM (%),FR_Dividend Pay Out Ratio(%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Free Float,5 YR Sales CAGR,5 YR PAT CAGR,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1344,-51.32,-976.27,-0.05,13.18,-72.62,0.00,0.00,-27.87,0.43,-4.74,40.47,-0.11,-2.27,18.69,0.36
3M India Ltd.,1840,177.37,108.34,1.64,11.32,5.62,0.00,14.38,20.53,1.34,0.02,13.50,0.11,0.03,39.39,3.72
ABB India Ltd.,104,479.00,228.51,2.10,7.23,2.80,34.31,8.33,14.73,0.85,0.13,14.96,0.04,-0.08,53.97,2.54
Abbott India Ltd.,7733,214.78,228.96,0.94,15.53,9.88,28.77,26.54,39.98,1.13,0.00,19.38,#N/A,#N/A,18.28,3.07
Accelya Solutions India Ltd.,2289,66.28,67.40,0.98,39.81,22.26,79.73,60.01,95.47,0.98,0.00,21.90,0.13,0.21,8.30,3.82
Aegis Logistics Ltd.,303,122.34,103.41,1.18,4.74,2.87,24.22,28.89,26.32,4.30,0.51,26.58,0.67,0.19,10.26,0.24
AGC Networks Ltd.,3916,27.96,14.77,1.89,3.23,1.66,0.00,18.39,15.58,0.96,1.44,19.03,#N/A,#N/A,0.05,0.27
Agro Tech Foods Ltd.,891,40.94,36.92,1.11,8.01,4.86,13.20,12.38,14.48,1.90,0.08,22.09,0.03,0.08,20.80,1.89
Akzo Nobel India Ltd.,760,155.40,186.30,0.83,11.66,6.66,50.13,21.11,31.33,1.46,0.00,11.48,0.22,0.03,27.77,6.29
Allsec Technologies Ltd.,2527,-5.98,-14.06,-0.43,0.21,-9.32,0.00,-19.94,-12.43,1.42,0.23,19.18,0.02,0.07,0.55,0.23
Ambuja Cements Ltd.,151,1675.46,1486.50,1.13,20.89,13.20,52.13,15.24,18.76,0.84,0.00,33.56,0.07,0.04,15.44,3.73
Andhra Paper Ltd.,9974,128.29,0.25,517.72,8.63,0.02,0.00,0.06,4.04,0.95,1.21,19.92,0.12,-0.66,18.86,0.97
Asahi India Glass Ltd.,1163,49.82,42.02,1.19,14.08,1.64,0.00,14.58,12.63,1.06,5.05,28.38,0.10,0.88,13.82,1.17
Asian Hotels (East) Ltd.,2099,39.85,-21.89,-1.82,26.43,-20.78,-10.45,-5.07,1.65,0.15,0.42,18.31,0.36,-2.08,9.98,1.19
Asian Hotels (North) Ltd.,188,-3.44,-50.72,-0.07,31.78,-21.87,0.00,-8.68,2.94,0.11,1.87,19.03,0.10,-2.14,10.05,1.09
Asian Hotels (West) Ltd.,232,33.41,-71.08,-0.47,20.76,-31.57,-1.61,-32.97,0.80,0.23,3.24,21.09,0.35,-2.48,32.53,0.93
