Company,Net Sales,Cons PAT,CFO,CFO/PAT,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Dividend Pay Out Ratio(%),Free Float,5 YR Sales CAGR,5 YR PAT CAGR,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1125.58,-548.96,199.06,-0.36,9.65,-49.02,0,-17.58,0.58,-1.03,0,73.85,-0.03,-1.72,16.17,0.22
3M India Ltd.,2139.6,194.76,260.9,1.34,15.93,8.76,21.69,33.53,1.53,0.01,0,11.94,0.12,0.53,42.31,5.86
Aavas Financiers Ltd.,190.88,32.78,-590.8,-18.02,77.6,17.17,21.48,11.96,0.15,7.1,0,0,0.54,0.67,0,0
ABB India Ltd.,8140.27,299.88,381.67,1.27,8.48,3.46,10.3,17.1,0.97,0.2,26.14,14.38,0.01,0.06,40.57,3.3
Abbott India Ltd.,2614.5,255.25,248.68,0.97,15.69,9.65,23.93,37.55,1.39,0,29.14,19.59,0.1,0.18,24.75,4.24
Accelya Solutions India Ltd.,340.98,83.02,79.97,0.96,41.58,24.35,72.76,112.58,0.98,0,80.9,18.53,0.06,0.05,11.56,4.66
Aegis Logistics Ltd.,2213.22,113.33,138.42,1.22,8.76,5.7,27.07,25.46,2.41,0.37,26.52,25.66,0.02,0.3,16.95,0.99
AGC Networks Ltd.,881.38,-34.59,29.23,-0.85,1.27,-3.92,-49.4,1.81,1.18,2.36,0,16.73,0.19,-0.23,11.19,0.31
Agro Tech Foods Ltd.,782.09,23.19,-18.5,-0.8,7.27,2.96,7.12,10.61,1.68,0.28,21.02,23.69,0.02,-0.04,23.1,1.83
Akzo Nobel India Ltd.,2640.1,214.2,263.2,1.23,12.27,7.3,20.1,29.65,1.74,0,152.61,27.04,0.04,0.07,30.55,6.92
Allsec Technologies Ltd.,233.38,30.94,34.81,1.13,18.82,13.26,40.47,41.53,2.02,0.09,0,55.18,0.06,-1.84,40.06,0.59
Ambuja Cements Ltd.,9451.37,807.88,"1,556.55",1.93,17.58,7.49,7.95,12.4,0.77,0,53.79,23.5,0.22,0.13,13.92,3.41
Andhra Paper Ltd.,1159.81,36.89,111.33,3.02,11.27,3.03,8.53,10.48,0.95,1.06,0,13.95,0.06,-2.37,14.13,0.99
Asahi India Glass Ltd.,2208.87,86.95,230.18,2.65,16.35,3.37,25.83,16.95,1.11,3.73,16.78,22.34,0.06,-2.29,14.14,1.73
Asian Hotels (East) Ltd.,192.73,6.44,40.48,6.29,32.7,-3.7,-0.92,2.92,0.16,0.36,35.56,17.87,0.02,-1.68,10,0.98
Asian Hotels (North) Ltd.,240.72,1.59,54.34,34.18,34.77,0.66,0.28,5.6,0.12,1.99,0,16.92,0.04,0.04,17.41,0.96
Asian Hotels (West) Ltd.,319.17,-50.57,77.22,-1.53,26.35,-19.14,-30.47,3.36,0.27,4.33,-2.27,30.54,0.25,-2.26,14.89,0.49
Asian Oilfield Services Ltd.,77.67,-27.06,-1.11,0.04,4.46,-34.84,-114.5,-12.59,0.48,10.94,0,37.75,0.1,-1.83,47.85,1.06
Astrazeneca Pharma India Ltd.,563.73,5.26,56.99,10.84,4.07,0.92,3.43,3.76,1.36,0,0,14.22,0.09,-3.55,79.55,5.73
Banco Products (India) Ltd.,1204.29,89.89,68.5,0.76,12.47,7.12,13.76,17.8,1.42,0.05,36.6,28.65,0.06,-0.05,5.77,0.76
BASF India Ltd.,4747.21,-30.37,198.86,-6.55,2.11,-0.59,-2.82,4.62,1.2,1.21,-14.25,21,0.06,-0.09,59.15,0.95
Bata India Ltd.,2422.71,217.39,203.64,0.94,12.89,8.85,19.63,28.2,1.54,0,20.69,32.84,0.07,0.11,17.68,3.23
Bayer CropScience Ltd.,2769,315.1,206.5,0.66,17.87,10.91,16.27,25.39,0.74,0,19.1,22.45,-0.01,0.04,20.44,4.18
Bilcare Ltd.,2602.86,-84.86,176.92,-2.08,8.94,-3.1,-9.09,-1.4,0.67,2.98,0,51.63,0,0.3,9.14,0.04
Black Rose Industries Ltd.,177.21,1.61,5.69,3.54,5.67,0.91,8.01,11.78,2.01,2.01,0,15.54,0.22,-2.39,20.64,0.56
Blue Dart Express Ltd.,2562.94,196.23,360.96,1.84,17.21,7.68,57.13,47.85,1.65,1.04,36.28,19.09,0.07,-1.8,63.33,6.87
Bosch Ltd.,10683.1,"1,533.60","1,317.70",0.86,21.95,13.41,16.07,22.15,0.91,0.01,17.4,19.94,0.07,0.13,25.32,6.11
Cairn India Ltd. (Amalgamated),8625.57,"-9,431.88","4,133.88",-0.44,62.29,-109.35,-17.6,-17.48,0.14,0,-5.96,2.35,-0.03,-2.08,3.95,2.48
Capital First Ltd. - (Amalgamated),1882.24,166.19,"-3,486.86",-20.98,65.13,8.83,10.76,10.36,0.15,7.44,13.18,12.13,0.36,0.36,10.69,2.3
Castrol India Ltd.,3298.03,615.26,740.01,1.2,24.73,15.36,114.75,177.51,2.63,0,72.34,22.65,0.03,0.12,22.92,6.5
Clariant Chemicals (India) Ltd.,1139.96,59.37,-148.44,-2.5,10.13,4.83,5.75,7.17,0.9,0,583.17,33.17,-0.04,-0.36,26.69,2.13
