Company Name,Net Sales,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Cons OCF,Cons PAT,OCF/PAT,FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1681.02,32.07,-39.82,-70.15,-1.18,0.83,5.61,-154.46,-360.03,0.43,0.00,64.50,4.92,0.24
3M India Ltd.,1405.10,17.29,8.81,22.66,32.52,3.54,0.25,20.89,64.77,0.32,0.00,12.95,29.25,3.61
Aavas Financiers Ltd.,0.29,55.55,2.74,0.03,0.60,0.02,0.00,-0.64,0.00,-160.45,0.00,#N/A,0.00,0.00
ABB India Ltd.,7451.79,10.57,4.96,14.58,24.79,2.37,0.00,120.00,184.71,0.65,34.43,13.15,41.88,2.25
Abbott India Ltd.,1490.21,25.88,15.96,56.69,84.84,3.22,0.00,24.07,120.39,0.20,30.00,21.68,17.60,2.50
Accelya Solutions India Ltd.,437.52,114.21,65.54,102.75,147.45,4.88,0.02,88.43,81.57,1.08,86.00,18.34,2.56,0.84
Aegis Logistics Ltd.,4463.83,4.50,1.00,15.71,11.84,5.09,14.47,-147.17,19.68,-7.48,33.94,20.70,14.44,0.26
AGC Networks Ltd.,994.60,22.65,12.73,43.40,53.11,2.92,0.80,-46.20,63.50,-0.73,33.54,20.56,3.44,0.30
Agro Tech Foods Ltd.,704.54,16.07,10.29,37.54,52.74,5.19,0.00,27.70,36.28,0.76,11.76,21.45,26.44,1.33
Akzo Nobel India Ltd.,1987.80,26.54,18.67,32.05,39.58,2.31,0.00,137.10,201.80,0.68,36.47,17.77,15.54,3.53
Allsec Technologies Ltd.,183.14,4.84,-16.08,-27.43,-17.57,2.58,0.04,-10.52,-16.98,0.62,0.00,20.72,2.15,0.16
Ambuja Cements Ltd.,8519.01,46.46,25.45,31.97,45.61,1.76,0.02,1531.78,1227.74,1.25,39.99,33.76,9.93,2.97
Andhra Paper Ltd.,595.23,23.35,-31.05,-36.95,5.03,1.02,1.99,69.55,-97.81,-0.71,0.00,19.81,9.23,1.30
Asahi India Glass Ltd.,1666.50,19.88,-7.17,-75.40,6.13,1.75,22.75,177.99,-65.12,-2.73,0.00,31.68,10.38,0.71
Asian Hotels (East) Ltd.,85.41,100.18,65.45,7.14,9.17,0.21,0.00,21.00,27.96,0.75,18.41,19.14,7.66,4.13
Asian Hotels (North) Ltd.,353.49,81.81,-52.89,-32.88,5.64,0.29,3.95,163.26,-27.11,-6.02,-10.77,15.27,11.10,1.13
Asian Hotels (West) Ltd.,135.67,66.46,6.98,3.10,10.12,0.34,2.93,40.48,8.36,4.84,54.80,23.01,8.68,1.36
Asian Oilfield Services Ltd.,45.34,-7.37,-39.89,-20.81,-21.33,0.77,0.49,-6.47,-9.04,0.72,0.00,19.22,5.18,1.07
Astrazeneca Pharma India Ltd.,530.82,13.45,7.27,21.43,31.71,3.46,0.00,38.73,19.77,1.96,44.27,10.00,31.26,6.68
Banco Products (India) Ltd.,1018.86,24.74,14.39,39.49,42.16,3.15,0.69,108.65,76.53,1.42,23.36,21.21,5.10,0.55
BASF India Ltd.,3515.94,11.50,5.39,20.00,27.90,3.75,0.37,181.62,100.86,1.80,17.17,17.96,13.87,1.64
Bata India Ltd.,1549.05,51.42,32.94,114.92,148.51,3.53,0.00,31.36,258.86,0.12,14.90,31.11,18.28,2.92
Bayer CropScience Ltd.,2272.30,25.23,11.77,37.93,52.37,1.75,0.00,106.70,139.00,0.77,11.94,18.69,11.76,1.51
Bilcare Ltd.,3641.79,26.58,7.69,24.04,28.70,2.11,2.13,92.44,136.56,0.68,3.45,29.89,4.04,0.26
Black Rose Industries  Ltd.,93.41,7.19,0.41,3.21,14.33,3.32,3.51,4.66,0.19,24.15,0.00,19.16,6.50,0.32
Blue Dart Express Ltd.,1495.38,26.96,16.42,40.63,59.50,3.24,0.00,107.03,124.19,0.86,3.82,7.04,21.65,3.02
Bosch Ltd.,8165.80,41.79,25.60,50.88,66.93,2.51,0.13,444.60,1122.70,0.40,37.76,18.48,12.57,2.89
Cairn India Ltd. (Amalgamated),11860.65,171.87,133.85,35.89,37.42,0.47,0.05,7068.95,7937.74,0.89,0.00,14.55,5.70,5.01
Capital First Ltd. - (Amalgamated),740.15,149.91,28.60,28.22,25.64,0.32,10.75,-1294.39,105.83,-12.23,9.14,23.43,8.75,1.87
Castrol India Ltd.,2993.27,41.97,27.18,166.20,247.95,5.37,0.00,352.38,481.03,0.73,77.11,23.97,14.88,4.11
Clariant Chemicals (India) Ltd.,961.64,34.08,59.59,142.88,186.11,2.79,0.00,21.45,304.39,0.07,52.55,32.91,9.58,1.86
CMI FPE Ltd.,351.80,12.13,5.90,14.86,24.31,1.75,0.05,-27.44,10.96,-2.50,22.52,19.73,8.03,1.34
Colgate-Palmolive (India) Ltd.,2693.23,44.86,31.83,217.94,287.92,3.61,0.00,402.84,446.47,0.90,76.15,35.41,23.31,6.50
CreditAccess Grameen Ltd.,59.53,100.38,-9.75,-11.10,38.63,0.39,4.20,-79.18,-2.90,27.28,0.00,#N/A,0.00,0.00
CRISIL Ltd.,806.96,75.65,51.16,101.64,135.60,2.51,0.00,260.39,206.42,1.26,37.33,16.57,19.04,7.82
CSB Bank Ltd.,1075.63,17.39,4.82,10.04,11.24,0.00,2.18,246.99,25.90,9.54,21.25,#N/A,0.00,0.00
Cummins India Ltd.,4117.22,37.21,26.81,61.44,86.25,2.97,0.00,442.49,591.27,0.75,51.57,27.80,18.48,3.39
Dabur India Ltd.,5305.42,34.31,24.09,94.24,65.91,2.50,1.43,596.93,644.89,0.93,35.12,21.90,21.55,3.99
DCB Bank Ltd.,716.97,23.38,15.36,16.13,15.72,0.00,2.80,-405.80,55.08,-7.37,0.00,40.91,22.37,1.64
De Nora India Ltd.,34.07,44.44,27.21,36.76,55.37,1.79,0.00,-0.67,4.78,-0.14,68.31,36.01,8.21,2.16
Denso India Ltd.,1036.20,-3.51,-12.72,-83.37,-44.00,3.91,1.89,-76.00,-72.20,1.05,0.00,19.95,12.16,0.17
DIC India Ltd.,676.99,13.80,7.13,20.76,31.18,3.77,0.17,12.94,26.45,0.49,13.88,23.26,5.25,0.47
Disa India Ltd.,154.37,44.17,26.95,91.82,140.91,2.96,0.02,17.56,22.67,0.77,133.26,13.51,6.86,1.90
Dixon Technologies (India) Ltd.,567.66,2.34,-1.31,-10.16,2.68,4.48,3.22,4.98,-3.72,-1.34,0.00,#N/A,0.00,0.00
D-Link (India) Ltd.,223.07,10.62,6.31,18.82,27.40,4.12,0.00,-4.69,7.04,-0.67,17.04,35.28,12.02,0.49
Elantas Beck India Ltd.,268.97,27.79,16.77,28.27,41.15,2.77,0.00,34.08,24.74,1.38,14.42,10.15,28.71,4.94
Endurance Technologies Ltd.,3819.12,12.52,9.36,69.96,31.20,3.42,3.24,542.50,178.67,3.04,1.85,#N/A,0.00,0.00
Enkei Wheels (India) Ltd.,279.21,9.42,-3.48,-555.15,-0.35,2.15,34.82,42.82,-5.33,-8.03,0.00,18.54,7.86,0.25
Eros International Media Ltd.,943.88,50.86,31.60,39.83,42.02,1.24,1.08,405.64,147.84,2.74,0.00,14.50,11.09,2.42
Esab India Ltd.,544.58,28.27,16.09,47.14,71.15,4.02,0.00,40.13,47.44,0.85,48.66,20.36,8.08,1.44
Essar Shipping Ltd.,2801.58,53.72,2.63,1.38,7.32,0.49,2.07,613.64,36.83,16.66,0.00,8.71,8.25,0.21
Ester Industries Ltd.,699.58,11.06,-3.75,-10.52,5.72,2.38,2.04,47.47,-13.93,-3.41,0.00,20.29,1.82,0.30
Expleo Solutions Ltd.,121.44,36.92,18.74,31.28,51.36,2.56,0.00,4.52,11.38,0.40,44.17,23.34,0.89,0.48
Federal-Mogul Goetze (India) Ltd.,1166.91,23.75,7.60,23.55,37.39,3.02,0.55,101.47,39.54,2.57,8.75,10.04,10.44,1.40
Finolex Industries Ltd.,2099.78,21.29,6.47,23.44,22.36,2.16,3.15,154.54,75.15,2.06,49.54,40.58,6.76,0.41
Foseco India Ltd.,232.91,32.86,19.79,70.12,91.41,3.81,0.25,12.01,25.28,0.48,45.47,13.52,8.86,1.64
GE Power India Ltd.,2419.78,24.52,13.65,53.01,79.12,1.56,0.00,-127.74,167.96,-0.76,40.03,24.33,7.45,2.04
Gillette India Ltd.,2465.80,48.17,26.22,51.97,80.43,3.53,0.00,116.36,151.46,0.77,64.55,10.02,47.41,6.17
Glaxosmithkline Consumer Healthcare Ltd.,2765.00,40.51,24.40,67.52,103.36,2.14,0.00,390.73,355.21,1.10,41.44,39.03,16.69,4.01
Glaxosmithkline Pharmaceuticals Ltd.,2455.38,75.54,34.15,44.10,62.11,1.25,0.01,335.37,428.59,0.78,88.93,31.18,17.74,8.13
GMM Pfaudler Ltd.,252.44,16.17,7.43,18.15,27.30,2.96,0.00,31.94,9.93,3.22,41.19,22.83,6.06,0.72
