Company Name,PL_Net Sales,PL_Operating Profit (Excl OI),PL_Consolidated PAT,OCF,OCF/PAT,PE,P/B,ROE,ROCE,D/E,Asset Turnover,Div Yield,FR_PBIDTM (%),FR_PATM (%),Ev/EBITDA,M/Sales
3I Infotech Ltd.,2449,490,294,342,1.16,4.06,0.89,25.77,13.29,1.93,0.63,1.91,21.3,10.86,6.28,0.49
3M India Ltd.,1087,138,93,106,1.14,31.55,4.65,23.55,35.88, -   ,2.08, -   ,14.17,8.31,17.49,2.32
ABB India Ltd.,6237,548,355,354,1,36.17,6.68,15.71,25.33, -   ,1.18,0.26,9.55,5.46,20.56,2.38
Accelya Solutions India Ltd.,166,40,26,28,1.08,4.91,0.85,24.02,25.64,0.04,1.11,2.28,24.76,15.92,1.75,0.57
Aegis Logistics Ltd.,305,72,43,33,0.76,9.2,1.55,24.55,22.5,0.69,0.83,2.62,25.93,14.09,5.48,0.92
Affle (India) Ltd.,6,0,0,#N/A,#N/A, -   , -   , -   ,1.95,-0.06,0.97, -   ,3.78,1.17, -   , -   
Agro Tech Foods Ltd.,650,26,25,14,0.56,23.97,3.85,17.92,23.85, -   ,2.64,0.61,5.62,3.87,15.28,0.65
Akzo Nobel India Ltd.,939,116,159,111,0.7,7.06,2.16,16.25,20.52, -   ,0.82,2.66,19.96,14.3,10.16,2.31
Allsec Technologies Ltd.,135,-7,-10,-7,0.69, -   ,0.43,-7.87,-7.32,0.02,0.9, -   ,2.79,-7.5,14.53,0.48
Ambuja Cements Ltd.,7037,1866,1217,2126,1.75,11.04,2.51,20.06,28.99,0.03,0.93,2.31,27.48,15.76,7.1,2.3
Andhra Paper Ltd.,649,144,54,121,2.23,6.43,0.47,11.79,9.85,0.98,0.57,1.25,22.86,8.09,6.02,0.35
Asahi India Glass Ltd.,1293,228,2,113,63.29,2.18,4.94,0.6,7.47,7.53,0.73, -   ,17.77,0.08,13.59,0.75
Asian Hotels (East) Ltd.,41,18,15,12,0.83, -   , -   ,3.95,5.27, -   ,0.1, -   ,54.57,35.76, -   , -   
Asian Hotels (North) Ltd.,145,52,27,55,2.06,6.48,1.3,4.33,5.43,0.26,0.09, -   ,36.26,18.52,4.06,1.67
Asian Hotels (West) Ltd.,60,19,10,3,0.3, -   , -   ,6.34,6.54,0.45,0.23, -   ,32.39,16.67, -   , -   
Asian Oilfield Services Ltd.,20,2,-1,1,-1.43,14.62,0.95,-1.02,-0.23,0,0.19, -   ,16.67,-4.45,5.49,1.12
Astrazeneca Pharma India Ltd.,397,89,58,33,0.57,32.31,14.04,44.21,54.79, -   ,1.57,1.05,23.37,14.23,18.49,5.39
Banco Products (India) Ltd.,461,106,79,49,0.63,7.78,1.98,25.41,24.97,0.31,0.92,2.34,23.03,16.18,5.97,1.33
BASF India Ltd.,1627,172,96,46,0.48,18.61,2.49,15.93,24.8, -   ,1.75,2.26,10.44,5.58,8.07,0.69
Bata India Ltd.,1092,122,63,100,1.6,18.51,4.21,22.75,33.75,0.1,1.7,1.51,12.01,5.62,10.28,1.09
Bayer CropScience Ltd.,1724,218,127,82,0.65,13.9,3.06,25.18,35.85,0.2,1.32,0.62,13.65,7.11,7.31,1.05
Bilcare Ltd.,1048,242,117,73,0.62,8.42,1.53,17.75,14.39,0.71,0.62,0.44,24.8,11.16,7.49,0.84
Black Rose Industries  Ltd.,51,4,3,5,1.46,7.4,1.23,42.09,35.05,1.05,1.7, -   ,10.7,6.34,5.56,0.22
Blue Dart Express Ltd.,908,104,61,38,0.62,18.54,3.25,14.39,22.2, -   ,1.52,0.14,12.35,6.72,10.09,1.4
Bosch Ltd.,4810,627,591,898,1.52,23.7,3.76,18.23,22.61,0.08,1.01,0.65,21.6,11.62,12.36,2.78
